model,training,degradation,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,f1_mean
MobileNetV3-Small,Clean-trained,mild,0.7276923076923076,0.0255002885286037,0.7083333333333333,0.63,0.7384615384615385,0.5456177156177155
MobileNetV3-Small,Quality-aware,mild,0.7676923076923077,0.024907177414637906,0.6138888888888889,0.77,0.5538461538461539,0.5294535121741004
MobileNetV3-Small,Clean-trained,moderate,0.7276923076923076,0.0342558930682511,0.8277777777777778,0.51,0.95,0.6182539682539682
MobileNetV3-Small,Quality-aware,moderate,0.8292307692307693,0.015705162631816653,0.8055555555555556,0.77,0.8192307692307693,0.6892540792540792
MobileNetV3-Small,Clean-trained,original,0.6153846153846154,,0.5,0.4,0.5384615384615384,0.3076923076923077
MobileNetV3-Small,Quality-aware,original,0.7230769230769231,,0.4444444444444444,1.0,0.23076923076923078,0.5
MobileNetV3-Small,Clean-trained,severe,0.7215384615384616,0.0379808012606845,0.7277777777777777,0.02,1.0,0.0333333333333333
MobileNetV3-Small,Quality-aware,severe,0.7138461538461539,0.04276346333407917,0.6972222222222222,0.36,0.826923076923077,0.38977272727272727
ResNet18,Clean-trained,mild,0.696923076923077,0.0291475482712928,0.638888888888889,0.54,0.676923076923077,0.4521561771561772
ResNet18,Quality-aware,mild,0.7115384615384615,0.024389142480694802,0.7222222222222222,0.0,1.0,0.0
ResNet18,Clean-trained,moderate,0.7084615384615385,0.0266352456845281,0.5611111111111111,0.47,0.5961538461538461,0.3715700965700966
ResNet18,Quality-aware,moderate,0.6923076923076923,0.05329387100211932,0.7222222222222222,0.0,1.0,0.0
ResNet18,Clean-trained,original,0.6615384615384614,,0.7777777777777778,0.4,0.9230769230769232,0.5
ResNet18,Quality-aware,original,0.676923076923077,,0.7222222222222222,0.0,1.0,0.0
ResNet18,Clean-trained,severe,0.7176923076923077,0.0441607437233984,0.5777777777777777,0.8400000000000001,0.4769230769230769,0.5264697802197802
ResNet18,Quality-aware,severe,0.5723076923076923,0.05960526229854191,0.7222222222222222,0.0,1.0,0.0
