model,degradation,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std,benign_prob_mean,malignant_prob_mean
EfficientNetB0-Clean,mild,0.7192307692307692,0.05622285150589909,0.20954628900352867,0.003176154412712626,0.1430952027440071,0.003368107080461868,0.41152158,0.44518661
EfficientNetB0-Clean,moderate,0.5953846153846154,0.04867602429343694,0.2220004441934039,0.004245239955216045,0.1588597690065702,0.004276578333506649,0.43185338,0.44907632
EfficientNetB0-Clean,original,0.7384615384615385,,0.21424231535123198,,0.16211929751767054,,0.42886406,0.46858293
EfficientNetB0-Clean,severe,0.52,0.11891757218929871,0.28136368607018525,0.003381948919969287,0.28319112045897377,0.002980853911164852,0.5610994,0.5606296
MobileNetV3-Clean,mild,0.7276923076923076,0.025500288528603785,0.17991749728152434,0.0038689310360089896,0.10471460140413709,0.04113411443734017,0.30691868,0.3993454
MobileNetV3-Clean,moderate,0.7276923076923076,0.03425589306825113,0.17472957858458868,0.004776456052823252,0.16365173827442858,0.059805838286533124,0.26679617,0.3537559
MobileNetV3-Clean,original,0.6153846153846154,,0.1890986148523626,,0.19537428518136343,,0.331263,0.4201293
MobileNetV3-Clean,severe,0.7215384615384616,0.03798080126068451,0.18516634906874443,0.0021867019270127865,0.043756961098147765,0.01026741763193292,0.24018511,0.28727356
MobileNetV3-QA,mild,0.7676923076923077,0.024907177414637906,0.1810775870310652,0.0018930534262050405,0.1828346059968074,0.022243131181270505,0.31188497,0.38325775
MobileNetV3-QA,moderate,0.8292307692307693,0.015705162631816653,0.17345190930120685,0.0022797634184056467,0.14389779282112916,0.052291855046635395,0.27513394,0.3573577
MobileNetV3-QA,original,0.7230769230769231,,0.19822738811600724,,0.1322276873721017,,0.39052132,0.46066436
MobileNetV3-QA,severe,0.7138461538461539,0.04276346333407917,0.18853921402359552,0.0032807275973463354,0.02010241233640247,0.02041318981652181,0.2774387,0.31431308
ResNet18-Clean,mild,0.696923076923077,0.0291475482712928,0.24037722636969722,0.004328496490246464,0.2618748024519947,0.00745526308077407,0.4851899,0.62039435
ResNet18-Clean,moderate,0.7084615384615385,0.02663524568452819,0.24098680724858457,0.006823802377853443,0.26085806807710066,0.0141002120142772,0.49437505,0.6230377
ResNet18-Clean,original,0.6615384615384614,,0.20531591536394936,,0.2576211343208949,,0.40827072,0.5362716
ResNet18-Clean,severe,0.7176923076923077,0.04416074372339842,0.28519827330104486,0.008646828708141291,0.3314433380961418,0.01566825274984459,0.5782734,0.6746418
ResNet18-QA,mild,0.7115384615384615,0.024389142480694802,0.18094339394475545,0.00591022687857335,0.12231196403089498,0.02928080210606322,0.25640297,0.3974257
ResNet18-QA,moderate,0.6923076923076923,0.05329387100211932,0.17776367627039524,0.007681741140287499,0.08819695015748341,0.03672906422385173,0.21390554,0.3300963
ResNet18-QA,original,0.676923076923077,,0.19163602831838597,,0.11903606934679879,,0.25418004,0.37038642
ResNet18-QA,severe,0.5723076923076923,0.05960526229854191,0.19203940940220227,0.006082295338796764,0.0980257452155153,0.026349004358224837,0.2618627,0.31086624
