model,degradation,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std
EfficientNet-B0,mild,0.7192307692307692,0.05622285150589909,0.375,0.04368875086983607,0.8300000000000001,0.07326950970650463,0.2,0.04601869550893222,0.4245989974937343,0.035278869063913774
EfficientNet-B0,moderate,0.5953846153846154,0.04867602429343694,0.3638888888888889,0.03360029549051665,0.8,0.0,0.19615384615384618,0.04652348606379226,0.4116959064327485,0.013035061552543097
EfficientNet-B0,original,0.7384615384615385,,0.4444444444444444,,1.0,,0.23076923076923078,,0.5,
EfficientNet-B0,severe,0.52,0.11891757218929871,0.2777777777777778,0.0,1.0,0.0,0.0,0.0,0.43478260869565216,0.0
MobileNetV3-Small,mild,0.7276923076923076,0.025500288528603785,0.7083333333333333,0.03979724441174331,0.63,0.07326950970650467,0.7384615384615385,0.04601869550893227,0.5456177156177155,0.05320198407423619
MobileNetV3-Small,moderate,0.7276923076923076,0.03425589306825113,0.8277777777777778,0.05377255786372148,0.51,0.12096106376585987,0.95,0.05160156871153359,0.6182539682539682,0.1269358199678006
MobileNetV3-Small,original,0.6153846153846154,,0.5,,0.4,,0.5384615384615384,,0.3076923076923077,
MobileNetV3-Small,severe,0.7215384615384616,0.03798080126068451,0.7277777777777777,0.01709963920141925,0.02,0.06155870112510924,1.0,0.0,0.03333333333333333,0.1025978352085154
ResNet18,mild,0.696923076923077,0.0291475482712928,0.638888888888889,0.0382359556450936,0.54,0.09403246919632541,0.676923076923077,0.040242181829276684,0.4521561771561772,0.06607636418287033
ResNet18,moderate,0.7084615384615385,0.02663524568452819,0.5611111111111111,0.04378160698068957,0.47000000000000003,0.09787209698591855,0.5961538461538461,0.049128182589115776,0.3715700965700966,0.06432051649380006
ResNet18,original,0.6615384615384614,,0.7777777777777778,,0.4,,0.9230769230769231,,0.5,
ResNet18,severe,0.7176923076923077,0.04416074372339842,0.5777777777777777,0.07518657754210606,0.8400000000000001,0.10462967275611935,0.4769230769230769,0.09857281161802883,0.5264697802197802,0.061751494198392355
